,sepal_length,sepal_width,petal_length,petal_width,class_flower,pre
0,5.1,3.5,1.4,0.2,1,0.9173417275055598
1,4.9,3.0,1.4,0.2,1,0.9614102435230029
2,4.7,3.2,1.3,0.2,1,0.9518103086208995
3,4.6,3.1,1.5,0.2,1,1.0126087760563542
4,5.0,3.6,1.4,0.2,1,0.9238918291631032
5,5.4,3.9,1.7,0.4,1,1.0568023484254214
6,4.6,3.4,1.4,0.3,1,1.0376259157955072
7,5.0,3.4,1.5,0.2,1,0.9554400567238239
8,4.4,2.9,1.4,0.2,1,1.0207050198413117
9,4.9,3.1,1.5,0.1,1,0.9186969250967894
10,5.4,3.7,1.5,0.2,1,0.8982713373912936
11,4.8,3.4,1.6,0.2,1,1.0000884875996319
12,4.8,3.0,1.4,0.1,1,0.9113949778806729
13,4.3,3.0,1.1,0.1,1,0.8981652948756453
14,5.8,4.0,1.2,0.2,1,0.7730022034071922
15,5.7,4.4,1.5,0.4,1,0.9563594096442888
16,5.4,3.9,1.3,0.4,1,0.96600179555666
17,5.1,3.5,1.4,0.3,1,0.9783311394771985
18,5.7,3.8,1.7,0.3,1,0.9673145421376217
19,5.1,3.8,1.5,0.3,1,0.9877591436790933
20,5.4,3.4,1.7,0.2,1,0.9569437478409698
21,5.1,3.7,1.5,0.4,1,1.0531726003224973
22,4.6,3.6,1.0,0.2,1,0.8769878616115766
23,5.1,3.3,1.7,0.5,1,1.1772584674155775
24,4.8,3.4,1.9,0.2,1,1.068188902251203
25,5.0,3.0,1.6,0.2,1,0.9958363736280749
26,5.0,3.4,1.6,0.4,1,1.1001190188842918
27,5.2,3.5,1.5,0.2,1,0.9290677193934413
28,5.2,3.4,1.4,0.2,1,0.9107916258480161
29,4.7,3.2,1.6,0.2,1,1.0199107232724707
30,4.8,3.1,1.6,0.2,1,1.0133606216149273
31,5.4,3.4,1.5,0.4,1,1.0335222953498664
32,5.2,4.1,1.5,0.1,1,0.8415340393912116
33,5.5,4.2,1.4,0.2,1,0.8424768294859687
34,4.9,3.1,1.5,0.1,1,0.9186969250967894
35,5.0,3.2,1.2,0.2,1,0.8961877314157831
36,5.5,3.5,1.3,0.2,1,0.8507450039711344
37,4.9,3.1,1.5,0.1,1,0.9186969250967894
38,4.4,3.0,1.3,0.2,1,0.993580836952356
39,5.1,3.4,1.5,0.2,1,0.9444659103945152
40,5.0,3.5,1.3,0.3,1,0.9666051475893167
41,4.5,2.3,1.3,0.3,1,1.0745644152970422
42,4.4,3.2,1.3,0.2,1,0.9847327476088257
43,5.0,3.5,1.6,0.6,1,1.2176737981558041
44,5.1,3.8,1.9,0.4,1,1.1395491085194935
45,4.8,3.0,1.4,0.3,1,1.0333738018239504
46,5.1,3.8,1.6,0.2,1,0.9494698699246451
47,4.6,3.2,1.4,0.2,1,0.9854845931673988
48,5.3,3.7,1.5,0.2,1,0.9092454837206023
49,5.0,3.3,1.4,0.2,1,0.9371639631783987
50,7.0,3.2,4.7,1.4,2,2.203082586090937
51,6.4,3.2,4.5,1.5,2,2.2845165996040473
52,6.9,3.1,4.9,1.5,2,2.324870465498031
53,5.5,2.3,4.0,1.3,2,2.187620803584483
54,6.5,2.8,4.6,1.5,2,2.3139387701789893
55,5.7,2.8,4.5,1.3,2,2.2570529786529914
56,6.3,3.3,4.7,1.6,2,2.39745638966761
57,4.9,2.4,3.3,1.0,2,1.9071724334533209
58,6.6,2.9,4.6,1.3,2,2.1765617552346384
59,5.2,2.7,3.9,1.4,2,2.241136337639796
60,5.0,2.0,3.5,1.0,2,1.9592947422454536
61,5.9,3.0,4.2,1.5,2,2.28013500594255
62,6.0,2.2,4.0,1.0,2,1.9542058806947882
63,6.1,2.9,4.7,1.4,2,2.3151220370700107
64,5.6,2.9,3.6,1.3,2,2.0593018363558215
65,6.7,3.1,4.4,1.4,2,2.172328655099057
66,5.6,3.0,4.5,1.5,2,2.3811578595820473
67,5.8,2.7,4.1,1.0,2,1.97673408821177
68,6.2,2.2,4.5,1.5,2,2.3507053389803163
69,5.6,2.5,3.9,1.1,2,2.0231196057511758
70,5.9,3.2,4.8,1.8,2,2.590455981817078
71,6.1,2.8,4.0,1.3,2,2.099655702249805
72,6.3,2.5,4.9,1.5,2,2.417259611504474
73,6.1,2.8,4.7,1.2,2,2.197567257798499
74,6.4,2.9,4.3,1.3,2,2.1304096332416846
75,6.6,3.0,4.4,1.4,2,2.1877268461001314
76,6.8,2.8,4.8,1.4,2,2.2654271956538055
77,6.7,3.0,5.0,1.7,2,2.495921764988881
78,6.0,2.9,4.5,1.5,2,2.3416853189365776
79,5.7,2.6,3.5,1.0,2,1.8559314499097017
80,5.5,2.4,3.8,1.1,2,2.0158176585350596
81,5.5,2.4,3.7,1.0,2,1.9321281083462303
82,5.8,2.7,3.9,1.2,2,2.053312635720667
83,6.0,2.7,5.1,1.6,2,2.5477236495548894
84,5.4,3.0,4.5,1.5,2,2.4031061522406647
85,6.0,3.4,4.5,1.6,2,2.380554507549391
86,6.7,3.1,4.7,1.5,2,2.3014184817222674
87,6.3,2.3,4.4,1.3,2,2.190628185818775
88,5.6,3.0,4.1,1.3,2,2.1683784827700086
89,5.5,2.5,4.0,1.3,2,2.1787727142409525
90,5.5,2.6,4.4,1.2,2,2.20415981046631
91,6.1,3.0,4.6,1.4,2,2.2879978541810555
92,5.8,2.6,4.0,1.2,2,2.0804368186096225
93,5.0,2.3,3.3,1.0,2,1.9006223317957773
94,5.6,2.7,4.2,1.3,2,2.204350755002494
95,5.7,3.0,4.2,1.2,2,2.119115062686251
96,5.7,2.9,4.2,1.3,2,2.184528519329655
97,6.2,2.9,4.3,1.3,2,2.152357925900302
98,5.1,2.5,3.0,1.1,2,1.873689093443006
99,5.7,2.8,4.1,1.3,2,2.1662524257842297
100,6.3,3.3,6.0,2.5,3,3.241462894235834
101,5.8,2.7,5.1,1.9,3,2.7526401781284227
102,7.1,3.0,5.9,2.1,3,2.900284071512915
103,6.3,2.9,5.6,1.8,3,2.7414326362526618
104,6.5,3.0,5.8,2.2,3,3.0044182232432153
105,7.6,3.0,6.6,2.1,3,3.0043143073867036
106,4.9,2.5,4.5,1.7,3,2.6020759311893116
107,7.3,2.9,6.3,1.8,3,2.790592140479907
108,6.7,2.5,5.8,1.8,3,2.7606325060568686
109,7.2,3.6,6.1,2.5,3,3.1521235814739503
110,6.5,3.2,5.1,2.0,3,2.714690342436074
111,6.4,2.7,5.3,1.9,3,2.7321955765869514
112,6.8,3.0,5.5,2.1,3,2.842405957632079
113,5.7,2.5,5.0,2.0,3,2.81075168755571
114,5.8,2.8,5.1,2.4,3,3.053163193314851
115,6.4,3.2,5.3,2.3,3,2.95403300111468
116,6.5,3.0,5.5,1.8,3,2.692360160705089
117,7.7,3.8,6.7,2.2,3,3.041637353872103
118,7.7,2.6,6.9,2.3,3,3.201115578339304
119,6.0,2.2,5.0,1.5,3,2.486154322724886
120,6.9,3.2,5.7,2.3,3,2.9899628223368984
121,5.6,2.8,4.9,2.0,3,2.785753561652533
122,7.7,2.8,6.7,2.0,3,2.963898976646477
123,6.3,2.7,4.9,1.8,3,2.5913797580758597
124,6.7,3.3,5.7,2.1,3,2.885508246380473
125,7.2,3.2,6.0,1.8,3,2.720193738142349
126,6.2,2.8,4.8,1.8,3,2.5752297215162123
127,6.1,3.0,4.9,1.8,3,2.6000559167191817
128,6.4,2.8,5.6,2.1,3,2.917850770510035
129,7.2,3.0,5.8,1.6,3,2.5616627271082217
130,7.4,2.8,6.1,1.9,3,2.7996311743596216
131,7.9,3.8,6.4,2.0,3,2.829609822618637
132,6.4,2.8,5.6,2.2,3,2.9788401824816733
133,6.3,2.8,5.1,1.5,3,2.449387753923559
134,6.1,2.6,5.6,1.4,3,2.5326954150400196
135,7.7,3.0,6.1,2.3,3,3.00181829391472
136,6.3,3.4,5.6,2.4,3,3.0852488847236685
137,6.4,3.1,5.5,1.8,3,2.6989102623626327
138,6.0,3.0,4.8,1.8,3,2.5883299248312994
139,6.9,3.1,5.4,2.1,3,2.804307628413815
140,6.7,3.1,5.6,2.4,3,3.054624433421729
141,6.9,3.1,5.1,2.3,3,2.8581860377055213
142,5.8,2.7,5.1,1.9,3,2.7526401781284227
143,6.8,3.2,5.9,2.3,3,3.0463372451005872
144,6.7,3.3,5.7,2.5,3,3.129465894267028
145,6.7,3.0,5.2,2.3,3,2.907258513253094
146,6.3,2.5,5.0,1.9,3,2.6839173976082193
147,6.5,3.0,5.2,2.0,3,2.7462385699967955
148,6.2,3.4,5.4,2.3,3,2.989833342646958
149,5.9,3.0,5.1,1.8,3,2.6674044858121793
